Name,id,withdraw_date_id,link
Joe Biden,1,1000,https://en.wikipedia.org/wiki/Joe_Biden
Bernie Sanders,2,11,https://en.wikipedia.org/wiki/Bernie_Sanders
Tulsi Gabbard,3,10,https://en.wikipedia.org/wiki/Tulsi_Gabbard
Elizabeth Warren,4,6,https://en.wikipedia.org/wiki/Elizabeth_Warren
Michael Bloomberg,5,6,https://en.wikipedia.org/wiki/Michael_Bloomberg
Amy Klobuchar,6,5,https://en.wikipedia.org/wiki/Amy_Klobuchar
Pete Buttigieg,7,5,https://en.wikipedia.org/wiki/Pete_Buttigieg
Tom Steyer,8,4,https://en.wikipedia.org/wiki/Tom_Steyer
Deval Patrick,9,3,https://en.wikipedia.org/wiki/Deval_Patrick
Andrew Yang,10,2,https://en.wikipedia.org/wiki/Andrew_Yang
Michael Bennet,11,2,https://en.wikipedia.org/wiki/Michael_Bennet
John Delaney,12,1,https://en.wikipedia.org/wiki/John_Delaney_(Maryland_politician)
Cory Booker,13,1,https://en.wikipedia.org/wiki/Cory_Booker
Marianne Williamson,14,1,https://en.wikipedia.org/wiki/Marianne_Williamson
Julián Castro,15,1,https://en.wikipedia.org/wiki/Julian_Castro
Kamala Harris,16,1,https://en.wikipedia.org/wiki/Kamala_Harris
Steve Bullock,17,1,https://en.wikipedia.org/wiki/Steve_Bullock_(American_politician)
Joe Sestak,18,1,https://en.wikipedia.org/wiki/Joe_Sestak
Wayne Messam,19,1,https://en.wikipedia.org/wiki/Wayne_Messam
Beto O'Rourke,20,1,https://en.wikipedia.org/wiki/Beto_O%27Rourke
Tim Ryan,21,1,https://en.wikipedia.org/wiki/Tim_Ryan_(Ohio_politician)
Bill de Blasio,22,1,https://en.wikipedia.org/wiki/Bill_de_Blasio
Kirstek Gillbrand,23,1,https://en.wikipedia.org/wiki/Kirsten_Gillibrand
Seth Moulton,24,1,https://en.wikipedia.org/wiki/Seth_Moulton
Jay Inslee,25,1,https://en.wikipedia.org/wiki/Jay_Inslee
John Hickenlooper,26,1,https://en.wikipedia.org/wiki/John_Hickenlooper
Mike Gravel,27,1,https://en.wikipedia.org/wiki/Mike_Gravel
Eric Swalwell,28,1,https://en.wikipedia.org/wiki/Eric_Swalwell
Richard Ojeda,29,1,https://en.wikipedia.org/wiki/Richard_Ojeda
